show_name,channel,time,female_char,work,working,url
Doli Armaano Ki,Zee TV,10:00,Urmi's mother,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Urmi's sister,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Urmi's sister in law ,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Samrat's mother,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Samrat's sister,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Samrat's sister in law,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Urmi's dadi ,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Damini,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Ishani,Working,1,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Divya,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Rani,Maid,1,http://www.zeetv.com/shows/doli-armaanon-ki/
Doli Armaano Ki,Zee TV,10:00,Akki's wife,,0,http://www.zeetv.com/shows/doli-armaanon-ki/
Jamai Raja,Zee TV,8:00,Durga Devi Patel,Buisness woman,1,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Roshini,,0,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Kritika,working,1,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Samaira,,0,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Shabnam,working,1,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Grand mother,,0,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Mona Devi,,0,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,NM,,0,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Beeji,,0,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Grand mother,,0,http://www.zeetv.com/shows/jamai-raja/
Jamai Raja,Zee TV,8:00,Sidharth's mother,,0,http://www.zeetv.com/shows/jamai-raja/
Reporters- Khaber Dil Se Dil Tak,Sony,9:00,Ananya,reporter,1,
Reporters- Khaber Dil Se Dil Tak,Sony,9:00,Shreya,reporter,1,
Reporters- Khaber Dil Se Dil Tak,Sony,9:00,Malvika,reporter,1,
Reporters- Khaber Dil Se Dil Tak,Sony,9:00,Beji,reporter,1,
Reporters- Khaber Dil Se Dil Tak,Sony,9:00,Richa,reporter,1,
Reporters- Khaber Dil Se Dil Tak,Sony,9:00,Ananya's mother,,0,
Reporters- Khaber Dil Se Dil Tak,Sony,9:00,Tarini,reporter,1,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Ragini,Adminstrator,1,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Nivedita,Lawyer,1,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Pam,,0,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Dimpy,,0,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Nishi,,0,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Sunny tai,Maid,1,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Mother,,0,
Itna Karo Na Mujhe Pyaar,Sony,9:00,Sonika   ,Doctor,1,
Tum hi Bandhu Sakha Tumhi,Zee TV,7:00,Elaichi,,0,http://www.zeetv.com/shows/tumhi-ho-bandhu-sakha-tumhi/
Tum hi Bandhu Sakha Tumhi,Zee TV,7:00,Mishri,,0,http://www.zeetv.com/shows/tumhi-ho-bandhu-sakha-tumhi/
Tum hi Bandhu Sakha Tumhi,Zee TV,7:00,Vinati,,0,http://www.zeetv.com/shows/tumhi-ho-bandhu-sakha-tumhi/
Tum hi Bandhu Sakha Tumhi,Zee TV,7:00,Shreya,,0,http://www.zeetv.com/shows/tumhi-ho-bandhu-sakha-tumhi/
Tum hi Bandhu Sakha Tumhi,Zee TV,7:00,Sanjana,,0,http://www.zeetv.com/shows/tumhi-ho-bandhu-sakha-tumhi/
Tum hi Bandhu Sakha Tumhi,Zee TV,7:00,Grand Mother,,0,http://www.zeetv.com/shows/tumhi-ho-bandhu-sakha-tumhi/
Tum hi Bandhu Sakha Tumhi,Zee TV,7:00,Shaina,,0,http://www.zeetv.com/shows/tumhi-ho-bandhu-sakha-tumhi/
Tu Mera Hero,Star Plus,,Surekha,,0,
Tu Mera Hero,Star Plus,,Rekha,,0,
Tu Mera Hero,Star Plus,,Bhagwati,,0,
Tu Mera Hero,Star Plus,,Hema,,0,
Tu Mera Hero,Star Plus,,Panchi,,0,
Tu Mera Hero,Star Plus,,Sonam,,0,
Tu Mera Hero,Star Plus,,Dimple,,0,
Tu Mera Hero,Star Plus,,Vaishali,,0,
Satrangi Sasural,Zee TV,7:00,Gita,Maid,1,http://www.zeetv.com/shows/satrangi-sasural/
Satrangi Sasural,Zee TV,7:00,Mother,,0,http://www.zeetv.com/shows/satrangi-sasural/
Satrangi Sasural,Zee TV,7:00,Narmda,,0,http://www.zeetv.com/shows/satrangi-sasural/
Satrangi Sasural,Zee TV,7:00,Babita,,0,http://www.zeetv.com/shows/satrangi-sasural/
Satrangi Sasural,Zee TV,7:00,Arushi,,0,http://www.zeetv.com/shows/satrangi-sasural/
Satrangi Sasural,Zee TV,7:00,Harpreet,,0,http://www.zeetv.com/shows/satrangi-sasural/
Satrangi Sasural,Zee TV,7:00,Kayra,,0,http://www.zeetv.com/shows/satrangi-sasural/
Satrangi Sasural,Zee TV,7:00,Bibo,Maid,1,http://www.zeetv.com/shows/satrangi-sasural/
Saath  Nibhana Saathiya,Star Plus,7:00,kokila,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Urmila,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Sister in law of Kokila,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Gopi,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Rashi,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Kinjal,worked for sometime,0,
Saath  Nibhana Saathiya,Star Plus,7:00,goura,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Vidya,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Meera,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Vidya's mother inlaw,,0,
Saath  Nibhana Saathiya,Star Plus,7:00,Grand mother ,,0,
Umeed Ek Nayi Roshni,LifeOk,7:30,Roshini,Doctor,1,
Umeed Ek Nayi Roshni,LifeOk,8:30,Mona,In administration,1,
Umeed Ek Nayi Roshni,LifeOk,9:30,Parvati Laxmi,Doctor,1,
Umeed Ek Nayi Roshni,LifeOk,10:30,Nisha,working in BPO,1,
Umeed Ek Nayi Roshni,LifeOk,11:30,Asha,working in hospital,1,
Umeed Ek Nayi Roshni,LifeOk,12:30,Vasundhra Roshini.smothe,Doctor,1,
Yeh Hai Mohabbatein,Star Plus,,Ishita,Dentist,1,
Yeh Hai Mohabbatein,Star Plus,,Simmi,Free lancer,1,
Yeh Hai Mohabbatein,Star Plus,,Vandita,Teacher,1,
Yeh Hai Mohabbatein,Star Plus,,Sarika,working,1,
Yeh Hai Mohabbatein,Star Plus,,Santosh  mother,,0,
Yeh Hai Mohabbatein,Star Plus,,Ishita's mother Uma,,0,
Yeh Hai Mohabbatein,Star Plus,,Neelu,Servant,1,
Yeh Hai Mohabbatein,Star Plus,,Divya,working,1,
Yeh Hai Mohabbatein,Star Plus,,shagun,,0,
Yeh Hai Mohabbatein,Star Plus,,Mihika,working,1,
Kalash EK Vishwas,Life OK,,Savitri  Dadi,,0,
Kalash EK Vishwas,Life OK,,Rekha,,0,
Kalash EK Vishwas,Life OK,,Devika,,0,
Kalash EK Vishwas,Life OK,,Sakshi,,0,
Kalash EK Vishwas,Life OK,,Pallavi,,0,
Kalash EK Vishwas,Life OK,,Nivedita,Buisness woman,1,
Kalash EK Vishwas,Life OK,,Manju Grewal,,0,
Kalash EK Vishwas,Life OK,,Sarika,,0,
Kalash EK Vishwas,Life OK,,Nimmi,,0,
Kalash EK Vishwas,Life OK,,Shweta,,0,
Sumit Sambhal Lega,Star Plus,,Dolly,,0,
Sumit Sambhal Lega,Star Plus,,Maya,,0,
Sumit Sambhal Lega,Star Plus,,Avantika,,0,
Sumit Sambhal Lega,Star Plus,,Mrs Ahluwalia,,0,
Diya Aur Baati,Star Plus,,Sandhya,IPS officer,1,
Diya Aur Baati,Star Plus,,Meenu,Helping her husband in buisness,1,
Diya Aur Baati,Star Plus,,Emily,Runs a Beauty Parlour,1,
Diya Aur Baati,Star Plus,,Santosh's Mother in law,,0,
Diya Aur Baati,Star Plus,,Neighbour,,0,
Diya Aur Baati,Star Plus,,Unnamed  woman,politician,1,
Diya Aur Baati,Star Plus,,Bhabho,,0,
Diya Aur Baati,Star Plus,,Meenakshi,Helps in running a shop,1,
Diya Aur Baati,Star Plus,,Lallima,runs mithai shop,1,
Diya Aur Baati,Star Plus,,Daisa,,0,
Diya Aur Baati,Star Plus,,Sandhya's sister in law,,0,
Diya Aur Baati,Star Plus,,Girl once engaged to Suraj,politician,1,
Diya Aur Baati,Star Plus,,trainer of IPS candidates,Trainer,1,
Diya Aur Baati,Star Plus,,Sandhya's best friend,IPS officer,1,
Sarojini Ek Nayi Pehal,Zee TV,,Sarojini,Teacher,1,http://www.zeetv.com/shows/sarojini/
Sarojini Ek Nayi Pehal,Zee TV,,Sapna,,0,http://www.zeetv.com/shows/sarojini/
Sarojini Ek Nayi Pehal,Zee TV,,Nirjhara,,0,http://www.zeetv.com/shows/sarojini/
Sarojini Ek Nayi Pehal,Zee TV,,Indira [chutki],,0,http://www.zeetv.com/shows/sarojini/
Sarojini Ek Nayi Pehal,Zee TV,,Grand mother,,0,http://www.zeetv.com/shows/sarojini/
Sarojini Ek Nayi Pehal,Zee TV,,Manisha  ,,0,http://www.zeetv.com/shows/sarojini/
Balika vadhu,Colors TV,,Dadi,,0,http://www.zeetv.com/shows/sarojini/
Balika vadhu,Colors TV,,Great grand daughter,Doctor,1,
Balika vadhu,Colors TV,,Anandi,Runs a NGO,1,
Balika vadhu,Colors TV,,Kamli,,0,
Balika vadhu,Colors TV,,Urmil,,0,
Balika vadhu,Colors TV,,Deesa,,0,
Udaan,Colors TV,6:00,Abha,,0,https://en.wikipedia.org/wiki/Udaan_(2014_TV_series)
Udaan,Colors TV,6:00,Tejaswini,coming up as politician,1,https://en.wikipedia.org/wiki/Udaan_(2014_TV_series)
Udaan,Colors TV,6:00,Ranjana,in politics,1,https://en.wikipedia.org/wiki/Udaan_(2014_TV_series)
Udaan,Colors TV,6:00,Bhairibhi,Running a NGO,1,https://en.wikipedia.org/wiki/Udaan_(2014_TV_series)
Mere Angne Mein,Star Plus,7:30,Shanti,,0,
Mere Angne Mein,Star Plus,7:30,Kaushalya,,0,
Mere Angne Mein,Star Plus,7:30,Riya,Working,1,
Mere Angne Mein,Star Plus,7:30,Pari     ,working in beauty parlour,1,
Mere Angne Mein,Star Plus,7:30,Pritti,working,1,
Mere Angne Mein,Star Plus,7:30,Nimmi,student and tailor,1,
Mere Angne Mein,Star Plus,7:30,Rani,,0,
Mere Angne Mein,Star Plus,7:30,Sarla Pari's mother,,0,
Mere Angne Mein,Star Plus,7:30,Sunehri,mystic work,1,
Mere Angne Mein,Star Plus,7:30,Sonal,student,0,
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Mohi,Maid,1,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Anusha,Doctor,1,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Rekha,running a NGO,1,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Deepa,student,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Anusha's grand mother,,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Jharana,Maid,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Shweta,,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Subhangi,,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,"Piyush,s grandmausi",,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Anjali,Working,1,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Mohi's mother,,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
Mohi – Ek Khwab Ke Khilne Ki Kahani,Star Plus,9:00,Sushila,,0,https://en.wikipedia.org/wiki/Mohi_(TV_series)
