show_name,channel,time,female_char,work,working,url
Tashan-e-Ishq,Zee TV,7:30,Leela Taneja,buisness woman,1,http://www.zeetv.com/shows/tashan-e-ishq/
Tashan-e-Ishq,Zee TV,7:30,Twinkle Taneja,,0,http://www.zeetv.com/shows/tashan-e-ishq/
Tashan-e-Ishq,Zee TV,7:30,Pinni,,0,http://www.zeetv.com/shows/tashan-e-ishq/
Tashan-e-Ishq,Zee TV,7:30,Anita Luthra,,0,http://www.zeetv.com/shows/tashan-e-ishq/
Tashan-e-Ishq,Zee TV,7:30,Kunj's mother,,0,http://www.zeetv.com/shows/tashan-e-ishq/
Tashan-e-Ishq,Zee TV,7:30,Chinki,,0,http://www.zeetv.com/shows/tashan-e-ishq/
Tashan-e-Ishq,Zee TV,7:30,Nikki,,0,http://www.zeetv.com/shows/tashan-e-ishq/
Tashan-e-Ishq,Zee TV,7:30,Alisha,Event  manager,1,http://www.zeetv.com/shows/tashan-e-ishq/
Kumkum Bhagya,Zee TV,9:00,Sarla,Buisness  woman,1,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Prgya,Teacher,1,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Poorvi,working,1,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Alia,working,1,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Tanya,model,1,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Dadi,,0,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Indu,,0,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Mitali,,0,http://www.zeetv.com/shows/kumkum-bhagya/
Kumkum Bhagya,Zee TV,9:00,Nani,,0,http://www.zeetv.com/shows/kumkum-bhagya/
Doli Armaano Ki,Zee TV,10:00,Urmi,Buisness woman,1,http://www.zeetv.com/shows/doli-armaanon-ki/
